,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
Perry Ave & 69th St,41.769293,-87.628195,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Perry Ave & 69th St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Perry Ave & 69th St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Perry Ave & 69th St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Perry Ave & 69th St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Perry Ave & 69th St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Perry Ave & 69th St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Perry Ave & 69th St, dtype: int64"
Calumet Ave & 71st St,41.765508,-87.616917,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Calumet Ave & 71st St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Calumet Ave & 71st St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Calumet Ave & 71st St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Calumet Ave & 71st St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Calumet Ave & 71st St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Calumet Ave & 71st St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Calumet Ave & 71st St, dtype: int64"
Clark St & 9th St (AMLI),41.870816,-87.631246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Clark St & 9th St (AMLI), dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Clark St & 9th St (AMLI), dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Clark St & 9th St (AMLI), dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Clark St & 9th St (AMLI), dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Clark St & 9th St (AMLI), dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Clark St & 9th St (AMLI), dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Clark St & 9th St (AMLI), dtype: int64"
Jeffery Blvd & 76th St,41.75712,-87.575839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Jeffery Blvd & 76th St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Jeffery Blvd & 76th St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Jeffery Blvd & 76th St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Jeffery Blvd & 76th St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Jeffery Blvd & 76th St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Jeffery Blvd & 76th St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Jeffery Blvd & 76th St, dtype: int64"
Yates Blvd & 75th St,41.758768,-87.56644,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Yates Blvd & 75th St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Yates Blvd & 75th St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Yates Blvd & 75th St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Yates Blvd & 75th St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Yates Blvd & 75th St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Yates Blvd & 75th St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Yates Blvd & 75th St, dtype: int64"
Rainbow Beach,41.757871,-87.549386,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Rainbow Beach, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Rainbow Beach, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Rainbow Beach, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Rainbow Beach, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Rainbow Beach, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Rainbow Beach, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Rainbow Beach, dtype: int64"
South Shore Dr & 74th St,41.762188,-87.559274,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: South Shore Dr & 74th St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: South Shore Dr & 74th St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: South Shore Dr & 74th St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: South Shore Dr & 74th St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: South Shore Dr & 74th St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: South Shore Dr & 74th St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: South Shore Dr & 74th St, dtype: int64"
Cottage Grove Ave & 71st St,41.765719,-87.604959,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Cottage Grove Ave & 71st St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Cottage Grove Ave & 71st St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Cottage Grove Ave & 71st St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Cottage Grove Ave & 71st St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Cottage Grove Ave & 71st St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Cottage Grove Ave & 71st St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Cottage Grove Ave & 71st St, dtype: int64"
Shields Ave & 28th Pl,41.842733,-87.635491,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Shields Ave & 28th Pl, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Shields Ave & 28th Pl, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Shields Ave & 28th Pl, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Shields Ave & 28th Pl, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Shields Ave & 28th Pl, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Shields Ave & 28th Pl, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Shields Ave & 28th Pl, dtype: int64"
Shields Ave & 31st St,41.838464,-87.635406,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    10
Name: Shields Ave & 31st St, dtype: int64","Mon Oct  4 10:11:05 2021    10
Name: Shields Ave & 31st St, dtype: int64","Mon Oct  4 10:12:09 2021    9
Name: Shields Ave & 31st St, dtype: int64","Mon Oct  4 10:13:13 2021    9
Name: Shields Ave & 31st St, dtype: int64","Mon Oct  4 10:14:19 2021    9
Name: Shields Ave & 31st St, dtype: int64","Mon Oct  4 10:15:24 2021    9
Name: Shields Ave & 31st St, dtype: int64","Mon Oct  4 10:16:30 2021    9
Name: Shields Ave & 31st St, dtype: int64"
Wentworth Ave & 33rd St,41.834529,-87.631822,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    10
Name: Wentworth Ave & 33rd St, dtype: int64","Mon Oct  4 10:11:05 2021    10
Name: Wentworth Ave & 33rd St, dtype: int64","Mon Oct  4 10:12:09 2021    10
Name: Wentworth Ave & 33rd St, dtype: int64","Mon Oct  4 10:13:13 2021    10
Name: Wentworth Ave & 33rd St, dtype: int64","Mon Oct  4 10:14:19 2021    10
Name: Wentworth Ave & 33rd St, dtype: int64","Mon Oct  4 10:15:24 2021    10
Name: Wentworth Ave & 33rd St, dtype: int64","Mon Oct  4 10:16:30 2021    10
Name: Wentworth Ave & 33rd St, dtype: int64"
Wentworth Ave & 35th St,41.830777,-87.632504,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Wentworth Ave & 35th St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Wentworth Ave & 35th St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Wentworth Ave & 35th St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Wentworth Ave & 35th St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Wentworth Ave & 35th St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Wentworth Ave & 35th St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Wentworth Ave & 35th St, dtype: int64"
Lake Park Ave & 35th St,41.831274,-87.608799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Lake Park Ave & 35th St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Lake Park Ave & 35th St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Lake Park Ave & 35th St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Lake Park Ave & 35th St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Lake Park Ave & 35th St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Lake Park Ave & 35th St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Lake Park Ave & 35th St, dtype: int64"
State St & Pershing Rd,41.823015,-87.626568,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: State St & Pershing Rd, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: State St & Pershing Rd, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: State St & Pershing Rd, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: State St & Pershing Rd, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: State St & Pershing Rd, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: State St & Pershing Rd, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: State St & Pershing Rd, dtype: int64"
Union Ave & Root St,41.819102,-87.643278,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Union Ave & Root St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Union Ave & Root St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Union Ave & Root St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Union Ave & Root St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Union Ave & Root St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Union Ave & Root St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Union Ave & Root St, dtype: int64"
Shields Ave & 43rd St,41.816207,-87.634819,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Shields Ave & 43rd St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Shields Ave & 43rd St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Shields Ave & 43rd St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Shields Ave & 43rd St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Shields Ave & 43rd St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Shields Ave & 43rd St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Shields Ave & 43rd St, dtype: int64"
Prairie Ave & 43rd St,41.816658,-87.619412,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Prairie Ave & 43rd St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Prairie Ave & 43rd St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Prairie Ave & 43rd St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Prairie Ave & 43rd St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Prairie Ave & 43rd St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Prairie Ave & 43rd St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Prairie Ave & 43rd St, dtype: int64"
Halsted St & 47th Pl,41.808133,-87.645616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Halsted St & 47th Pl, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Halsted St & 47th Pl, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Halsted St & 47th Pl, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Halsted St & 47th Pl, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Halsted St & 47th Pl, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Halsted St & 47th Pl, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Halsted St & 47th Pl, dtype: int64"
Princeton Ave & 47th St,41.809317,-87.633449,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Princeton Ave & 47th St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Princeton Ave & 47th St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Princeton Ave & 47th St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Princeton Ave & 47th St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Princeton Ave & 47th St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Princeton Ave & 47th St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Princeton Ave & 47th St, dtype: int64"
Woodlawn Ave & Lake Park Ave,41.814092,-87.597005,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Woodlawn Ave & Lake Park Ave, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Woodlawn Ave & Lake Park Ave, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Woodlawn Ave & Lake Park Ave, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Woodlawn Ave & Lake Park Ave, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Woodlawn Ave & Lake Park Ave, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Woodlawn Ave & Lake Park Ave, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Woodlawn Ave & Lake Park Ave, dtype: int64"
Canal St & Taylor St,41.870257,-87.639474,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Canal St & Taylor St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Canal St & Taylor St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Canal St & Taylor St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Canal St & Taylor St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Canal St & Taylor St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Canal St & Taylor St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Canal St & Taylor St, dtype: int64"
Calumet Ave & 51st St,41.802294,-87.618053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Calumet Ave & 51st St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Calumet Ave & 51st St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Calumet Ave & 51st St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Calumet Ave & 51st St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Calumet Ave & 51st St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Calumet Ave & 51st St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Calumet Ave & 51st St, dtype: int64"
Dorchester Ave & 49th St,41.805772,-87.592464,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Dorchester Ave & 49th St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Dorchester Ave & 49th St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Dorchester Ave & 49th St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Dorchester Ave & 49th St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Dorchester Ave & 49th St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Dorchester Ave & 49th St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Dorchester Ave & 49th St, dtype: int64"
Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Cornell Ave & Hyde Park Blvd, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Cornell Ave & Hyde Park Blvd, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Cornell Ave & Hyde Park Blvd, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Cornell Ave & Hyde Park Blvd, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Cornell Ave & Hyde Park Blvd, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Cornell Ave & Hyde Park Blvd, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Cornell Ave & Hyde Park Blvd, dtype: int64"
Ellis Ave & 53rd St,41.799336,-87.600958,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Ellis Ave & 53rd St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Ellis Ave & 53rd St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Ellis Ave & 53rd St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Ellis Ave & 53rd St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Ellis Ave & 53rd St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Ellis Ave & 53rd St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Ellis Ave & 53rd St, dtype: int64"
Lake Park Ave & 53rd St,41.799494,-87.586449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Lake Park Ave & 53rd St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Lake Park Ave & 53rd St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Lake Park Ave & 53rd St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Lake Park Ave & 53rd St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Lake Park Ave & 53rd St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Lake Park Ave & 53rd St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Lake Park Ave & 53rd St, dtype: int64"
Ellis Ave & 55th St,41.7943,-87.601449,11,11,11,11,12,12,12,11,11,12,13,13,13,13,13,14,12,12,11,10,12,11,11,11,13,13,13,13,13,13,13,13,13,14,15,16,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,"Mon Oct  4 10:10:00 2021    14
Name: Ellis Ave & 55th St, dtype: int64","Mon Oct  4 10:11:05 2021    14
Name: Ellis Ave & 55th St, dtype: int64","Mon Oct  4 10:12:09 2021    14
Name: Ellis Ave & 55th St, dtype: int64","Mon Oct  4 10:13:13 2021    14
Name: Ellis Ave & 55th St, dtype: int64","Mon Oct  4 10:14:19 2021    14
Name: Ellis Ave & 55th St, dtype: int64","Mon Oct  4 10:15:24 2021    14
Name: Ellis Ave & 55th St, dtype: int64","Mon Oct  4 10:16:30 2021    14
Name: Ellis Ave & 55th St, dtype: int64"
